
There are 4878 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
35 instances of CDS,OG0001264
36 instances of CDS,OG0001266
36 instances of CDS,OG0001267
36 instances of CDS,OG0001268
36 instances of CDS,OG0001269
36 instances of CDS,OG0001270
36 instances of CDS,OG0001271
36 instances of CDS,OG0001272
35 instances of CDS,OG0001273
36 instances of CDS,OG0001274
35 instances of CDS,OG0001275
36 instances of CDS,OG0001278
36 instances of CDS,OG0001279
35 instances of CDS,OG0001282
36 instances of CDS,OG0001283
36 instances of CDS,OG0001284
36 instances of CDS,OG0001285
36 instances of CDS,OG0001287
36 instances of CDS,OG0001288
36 instances of CDS,OG0001290
36 instances of CDS,OG0001291
36 instances of CDS,OG0001292
36 instances of CDS,OG0001296
36 instances of CDS,OG0001297
36 instances of CDS,OG0001298
